id;first_name;last_name;email;phone_number;hire_date;salary;language;commission_pct
1;Lola;Rodriguez;Lily.Kihn75@yahoo.com;repurpose modular;2020-07-10T00:46:17;12617;FRENCH;64912
2;Betsy;Langosh;Frances64@gmail.com;California override;2020-07-09T09:56:59;83938;ENGLISH;26945
3;Branson;Botsford;Sterling_Rau59@yahoo.com;backing up;2020-07-10T01:12:31;49609;ENGLISH;15436
4;Antonina;Turner;Reuben92@yahoo.com;Albania;2020-07-10T06:03:10;54263;FRENCH;33970
5;Aisha;Carroll;Fern.Orn73@gmail.com;Jersey frictionless;2020-07-09T10:29:04;93597;SPANISH;15970
6;Monty;Jerde;Chandler_Wehner@gmail.com;payment Expressway;2020-07-09T10:24:27;43151;FRENCH;52896
7;Louie;Lang;Keith7@hotmail.com;magenta;2020-07-09T13:14:03;69929;FRENCH;21992
8;Dean;Deckow;Stephen74@yahoo.com;Concrete;2020-07-10T04:01:42;79413;ENGLISH;9465
9;Amy;Ullrich;Asa.Cummerata@gmail.com;reinvent Baby;2020-07-10T07:33:49;17107;SPANISH;60954
10;Westley;Carroll;Javon44@hotmail.com;Nebraska;2020-07-09T23:55:38;32719;FRENCH;16471
